2022-04-19 10:05:15 install libc-bin:arm64 <none> 2.35-0ubuntu3
2022-04-19 10:05:15 status half-installed libc-bin:arm64 2.35-0ubuntu3
2022-04-19 10:05:15 status unpacked libc-bin:arm64 2.35-0ubuntu3
2022-04-19 10:05:15 upgrade libc6:arm64 2.35-0ubuntu3 2.35-0ubuntu3
2022-04-19 10:05:15 status half-configured libc6:arm64 2.35-0ubuntu3
2022-04-19 10:05:15 status unpacked libc6:arm64 2.35-0ubuntu3
2022-04-19 10:05:15 status half-installed libc6:arm64 2.35-0ubuntu3
2022-04-19 10:05:16 status unpacked libc6:arm64 2.35-0ubuntu3
2022-04-19 10:05:16 install libcap-ng0:arm64 <none> 0.7.9-2.2build3
2022-04-19 10:05:16 status half-installed libcap-ng0:arm64 0.7.9-2.2build3
2022-04-19 10:05:16 status unpacked libcap-ng0:arm64 0.7.9-2.2build3
2022-04-19 10:05:16 install libcap2:arm64 <none> 1:2.44-1build3
2022-04-19 10:05:16 status half-installed libcap2:arm64 1:2.44-1build3
2022-04-19 10:05:16 status unpacked libcap2:arm64 1:2.44-1build3
2022-04-19 10:05:16 install libcom-err2:arm64 <none> 1.46.5-2ubuntu1
2022-04-19 10:05:16 status half-installed libcom-err2:arm64 1.46.5-2ubuntu1
2022-04-19 10:05:16 status unpacked libcom-err2:arm64 1.46.5-2ubuntu1
2022-04-19 10:05:16 install libcrypt1:arm64 <none> 1:4.4.27-1
2022-04-19 10:05:16 status half-installed libcrypt1:arm64 1:4.4.27-1
2022-04-19 10:05:16 status unpacked libcrypt1:arm64 1:4.4.27-1
2022-04-19 10:05:16 install libdb5.3:arm64 <none> 5.3.28+dfsg1-0.8ubuntu3
2022-04-19 10:05:16 status half-installed libdb5.3:arm64 5.3.28+dfsg1-0.8ubuntu3
2022-04-19 10:05:16 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.8ubuntu3
2022-04-19 10:05:16 install libdebconfclient0:arm64 <none> 0.261ubuntu1
2022-04-19 10:05:16 status half-installed libdebconfclient0:arm64 0.261ubuntu1
2022-04-19 10:05:16 status unpacked libdebconfclient0:arm64 0.261ubuntu1
2022-04-19 10:05:16 install libext2fs2:arm64 <none> 1.46.5-2ubuntu1
2022-04-19 10:05:16 status half-installed libext2fs2:arm64 1.46.5-2ubuntu1
2022-04-19 10:05:16 status unpacked libext2fs2:arm64 1.46.5-2ubuntu1
2022-04-19 10:05:16 install libgcc-s1:arm64 <none> 12-20220319-1ubuntu1
2022-04-19 10:05:16 status half-installed libgcc-s1:arm64 12-20220319-1ubuntu1
2022-04-19 10:05:16 status unpacked libgcc-s1:arm64 12-20220319-1ubuntu1
2022-04-19 10:05:16 install libgcrypt20:arm64 <none> 1.9.4-3ubuntu3
2022-04-19 10:05:16 status half-installed libgcrypt20:arm64 1.9.4-3ubuntu3
2022-04-19 10:05:16 status unpacked libgcrypt20:arm64 1.9.4-3ubuntu3
2022-04-19 10:05:16 install libgmp10:arm64 <none> 2:6.2.1+dfsg-3ubuntu1
2022-04-19 10:05:16 status half-installed libgmp10:arm64 2:6.2.1+dfsg-3ubuntu1
2022-04-19 10:05:16 status unpacked libgmp10:arm64 2:6.2.1+dfsg-3ubuntu1
2022-04-19 10:05:16 install libgpg-error0:arm64 <none> 1.43-3
2022-04-19 10:05:16 status half-installed libgpg-error0:arm64 1.43-3
2022-04-19 10:05:16 status unpacked libgpg-error0:arm64 1.43-3
2022-04-19 10:05:16 install libgssapi-krb5-2:arm64 <none> 1.19.2-2
2022-04-19 10:05:16 status half-installed libgssapi-krb5-2:arm64 1.19.2-2
2022-04-19 10:05:16 status unpacked libgssapi-krb5-2:arm64 1.19.2-2
2022-04-19 10:05:16 install libk5crypto3:arm64 <none> 1.19.2-2
2022-04-19 10:05:16 status half-installed libk5crypto3:arm64 1.19.2-2
2022-04-19 10:05:16 status unpacked libk5crypto3:arm64 1.19.2-2
2022-04-19 10:05:16 install libkeyutils1:arm64 <none> 1.6.1-2ubuntu3
2022-04-19 10:05:16 status half-installed libkeyutils1:arm64 1.6.1-2ubuntu3
2022-04-19 10:05:16 status unpacked libkeyutils1:arm64 1.6.1-2ubuntu3
2022-04-19 10:05:16 install libkrb5-3:arm64 <none> 1.19.2-2
2022-04-19 10:05:16 status half-installed libkrb5-3:arm64 1.19.2-2
2022-04-19 10:05:16 status unpacked libkrb5-3:arm64 1.19.2-2
2022-04-19 10:05:16 install libkrb5support0:arm64 <none> 1.19.2-2
2022-04-19 10:05:16 status half-installed libkrb5support0:arm64 1.19.2-2
2022-04-19 10:05:16 status unpacked libkrb5support0:arm64 1.19.2-2
2022-04-19 10:05:16 install liblz4-1:arm64 <none> 1.9.3-2build2
2022-04-19 10:05:16 status half-installed liblz4-1:arm64 1.9.3-2build2
2022-04-19 10:05:16 status unpacked liblz4-1:arm64 1.9.3-2build2
2022-04-19 10:05:16 install liblzma5:arm64 <none> 5.2.5-2ubuntu1
2022-04-19 10:05:16 status half-installed liblzma5:arm64 5.2.5-2ubuntu1
2022-04-19 10:05:16 status unpacked liblzma5:arm64 5.2.5-2ubuntu1
